Account address,Show boosts,Notify on new posts,Languages
abeerfarid@mastodon.world,true,false,
reemsaad@mastodon.world,true,false,
maswad@mastodon.social,true,false,
mandojft74@mastodon.xyz,true,false,
nadiahalim@zirk.us,true,false,
taylorlorenz@mastodon.social,true,false,
Speechless@mastodon.social,true,false,
m_fattah1968@mindly.social,true,false,
Catvalente@wandering.shop,true,false,
Moeltaher@mastodon.social,true,false,
tareef@mastodon.social,true,false,
Ritafaddoul@mastodon.art,true,false,
ifex@mastodon.ngo,true,false,
heidykhlaaf@mastodon.social,true,false,
Bizri6@kolektiva.social,true,false,
davetroy@toad.social,true,false,
huubeggen@socialserver.science,true,false,
lastoadri@mastodon.social,true,false,
degner@mastodon.social,true,false,
pakinam@socel.net,true,false,
ginapoe@neuromatch.social,true,false,
welshpixie@mastodon.art,true,false,
GrrlScientist@mstdn.science,true,false,
jayeless@toot.cat,true,false,
mondoweiss@social.mondoweiss.net,true,false,
arielwaldman@xoxo.zone,true,false,
khowaga@mastodon.social,true,false,
bengoldacre@fosstodon.org,true,false,
helenczerski@fediscience.org,true,false,
youssefQ@zirk.us,true,false,
khaleddiab@journa.host,true,false,
APoD@botsin.space,true,false,
dangillmor@mastodon.social,true,false,
benjamingeer@zirk.us,true,false,
wikipedia@wikis.world,true,false,
davidr@hachyderm.io,true,false,
lastoadri@mastodon.world,true,false,
3arabawy@mastodon.online,true,false,
mo2003@mstdn.social,true,false,
Maker@secretbearsociety.org,true,false,
timbray@cosocial.ca,true,false,
emilymbender@dair-community.social,true,false,
video@urbanists.social,true,false,
wion@writing.exchange,true,false,
salem@mastodon.online,true,false,
mmasnick@mastodon.social,true,false,
jensorensen@mastodon.social,true,false,
torvalds@social.kernel.org,true,false,
evacide@hachyderm.io,true,false,
arabicfornerds@mastodon.social,true,false,
edward@indieweb.social,true,false,
shom@fosstodon.org,true,false,
ATLpaul@urbanists.social,true,false,
arrdem@macaw.social,true,false,
berrefjord@mastodon.art,true,false,
alex@dair-community.social,true,false,
Plumy@shelter.moe,true,false,
nariology@mastodon.online,true,false,
elih@typo.social,true,false,
nova@hachyderm.io,true,false,
WindontheWater@glasgow.social,true,false,
mattmight@mathstodon.xyz,true,false,
BicycleDutch@mastodon.social,true,false,
Sleepless_In_NJ@mastodon.world,true,false,
peteetchells@mastodon.social,true,false,
sofiannaceur@mastodon.world,true,false,
hszakher@mastodon.world,true,false,
loleg@fosstodon.org,true,false,
cliffcheney@federated.press,true,false,
remotevoices@mastodon.xyz,true,false,
Sheril@mastodon.social,true,false,
Maitelsadany@mastodon.world,true,false,
sarah_mohsen@mastodon.social,true,false,
eldahshan@mstdn.social,true,false,
arabist@mastodon.social,true,false,
phylogenomics@fediscience.org,true,false,
edyong209@mastodon.xyz,true,false,
dhatuqa@c.im,true,false,
InesAbdelrazek@mastodon.world,true,false,
marwasf@mastodon.world,true,false,
krmaher@mastodon.social,true,false,
lessig@mastodon.world,true,false,
AstroKatie@mastodon.social,true,false,
fj@mastodon.social,true,false,
acarvin@mas.to,true,false,
rad1@mstdn.social,true,false,
hildabast@mastodon.online,true,false,
moftasa@bookrastinating.com,true,false,
Sinai@mastodon.social,true,false,
timnitGebru@dair-community.social,true,false,
SallyBarnett@mastodon.world,true,false,
joelving@mastodon.joelving.dk,true,false,
photon@eldritch.cafe,true,false,
Baraa_Ziada@ohai.social,true,false,
Zeinobia@mastodon.social,true,false,
sana2@mastodon.world,true,false,
alsoratfarm@mastodon.world,true,false,
abirghattas@infosec.exchange,true,false,
Carl_Zimmer@mastodon.social,true,false,
khaled@typo.social,true,false,
zenartist@masto.ai,true,false,
ircpresident@mastodon.world,true,false,
erictopol@mstdn.social,true,false,
profbriancox@universeodon.com,true,false,
kate@fosstodon.org,true,false,
Ezzat@mastodon.world,true,false,
linaattalah@universeodon.com,true,false,
molly0xfff@hachyderm.io,true,false,
mahaelhissy@zirk.us,true,false,
benjaminbuse@scicomm.xyz,true,false,
modvig@mastodon.online,true,false,
AidaAlami@journa.host,true,false,
Sherifazuhur@sfba.social,true,false,
HadeerMekawy@climatejustice.social,true,false,
Alex_Verbeek@mastodon.social,true,false,
ftrain@tilde.zone,true,false,
neilhimself@mastodon.social,true,false,
sarahalsherif@mas.to,true,false,
stephenfry@mastodonapp.uk,true,false,
sumitapahwa@mstdn.social,true,false,
gretathunberg@mastodon.nu,true,false,
lilianedaoud@mastodon.world,true,false,
ezzat@activism.openworlds.info,true,false,
jilliancyork@mastodon.social,true,false,
baraka18@mastodon.online,true,false,
clive@saturation.social,true,false,
mlynxqualey@zirk.us,true,false,
MomenElHusseiny@mastodon.online,true,false,
_astronoMay@astrodon.social,true,false,
DigiAntiquarian@oldbytes.space,true,false,
andrewstroehlein@mastodon.social,true,false,
ethanz@octodon.social,true,false,
tarekshalaby@mastodon.online,true,false,
Ezabi@mastodon.online,true,false,
asteris@mastodon.social,true,false,
davidrevoy@framapiaf.org,true,false,
ahacker@mastodon.online,true,false,
saqeram@scholar.social,true,false,
helpcomputer0@mastodon.art,true,false,
Pepijn@mastodon.online,true,false,
ancientjames@mastodon.social,true,false,
ruari@velocipederider.com,true,false,
TarekRamaden99@mastodon.online,true,false,
iAbutalebz@mastodon.online,true,false,
abundance@merveilles.town,true,false,
Yaserius@mastodon.social,true,false,
feditips@mstdn.social,true,false,
weskandar@mastodon.social,true,false,
gnomon@mastodon.social,true,false,
cyberflaneuse@mastodon.social,true,false,
Walaa@mastodon.xyz,true,false,
gharbeia@mastodon.social,true,true,
erbmaster@mastodon.art,true,false,
rnadness@mastodon.art,true,false,
cornflower@mastodon.art,true,false,
nasser@merveilles.town,true,false,
